"","會員編號","櫃位名稱","課別名稱","商品類別名稱","全館消費金額","全館交易筆數","統計日期","性別","年齡層","最近消費日期","累積消費頻率","累積消費金額","卡友分群類別名稱"
"1","100058","44012_TRAVELER","04_服飾二課","戶外休閒服飾",11758,2,2011-01-07,"F","30-39歲",1299,6,14146,"流失顧客"
"2","100058","22611_BELA","02_美用二課","臨時櫃",1400,2,2011-04-23,"F","30-39歲",1299,6,14146,"流失顧客"
"3","100058","41003_NET","04_服飾二課","國產中性服飾",499,2,2011-09-30,"F","30-39歲",1299,6,14146,"流失顧客"
"4","100058","51011_聖加南洋小品","05_美食一課","熟食",200,2,2011-09-30,"F","30-39歲",1299,6,14146,"流失顧客"
"5","100058","51050_海壽司","05_美食一課","熟食",220,4,2012-06-11,"F","30-39歲",1299,6,14146,"流失顧客"
"6","100058","54052_SUBWAY","06_美食二課","TO GO",69,2,2012-06-11,"F","30-39歲",1299,6,14146,"流失顧客"
"7","101352","51042_三巡海南雞飯","05_美食一課","熟食",250,2,2011-03-09,"M","30-39歲",25,10,25007,"警戒顧客"
"8","101352","51015_興葉蚵仔煎","05_美食一課","熟食",250,2,2011-03-01,"M","30-39歲",25,10,25007,"警戒顧客"
"9","101352","54013_饗食天堂","06_美食二課","主題餐廳",16520,2,2011-03-19,"M","30-39歲",25,10,25007,"警戒顧客"
"10","101352","51015_興葉蚵仔煎","05_美食一課","熟食",130,2,2012-06-01,"M","30-39歲",25,10,25007,"警戒顧客"
"11","101352","51012_旭成鐵板","05_美食一課","熟食",160,2,2012-03-25,"M","30-39歲",25,10,25007,"警戒顧客"
"12","101352","43027_APIRATESTORE","04_服飾二課","街頭運動",4714,2,2012-12-15,"M","30-39歲",25,10,25007,"警戒顧客"
"13","101352","41025_G2000","04_服飾二課","進口中性服飾",1999,2,2015-11-03,"M","30-39歲",25,10,25007,"警戒顧客"
"14","101352","41031_UNIQLO","04_服飾二課","進口中性服飾",390,2,2015-10-21,"M","30-39歲",25,10,25007,"警戒顧客"
"15","101352","61662_魁北克","06_美食二課","臨時櫃",399,2,2015-12-07,"M","30-39歲",25,10,25007,"警戒顧客"
"16","101352","51068_萬年排骨","05_美食一課","熟食",195,2,2015-11-03,"M","30-39歲",25,10,25007,"警戒顧客"
"17","103310","54032_繼光香香雞","06_美食二課","TO GO",200,1,2011-01-15,"F","50-59歲",503,60,83853,"忠誠顧客"
"18","103310","54040_東京屋壽司丼飯專賣","06_美食二課","TO GO",60,2,2011-01-15,"F","50-59歲",503,60,83853,"忠誠顧客"
"19","103310","54039_Subi Juice & Crepes","06_美食二課","TO GO",240,2,2011-01-22,"F","50-59歲",503,60,83853,"忠誠顧客"
"20","103310","54032_繼光香香雞","06_美食二課","TO GO",100,2,2011-01-22,"F","50-59歲",503,60,83853,"忠誠顧客"
"21","103310","51625_橋本木材麵包","05_美食一課","臨時櫃",150,2,2011-01-22,"F","50-59歲",503,60,83853,"忠誠顧客"
"22","103310","43006_DADA & MBC","04_服飾二課","街頭運動",1740,1,2011-01-15,"F","50-59歲",503,60,83853,"忠誠顧客"
"23","103310","21028_nami & yami","01_美用一課","少女鞋",1500,2,2011-01-15,"F","50-59歲",503,60,83853,"忠誠顧客"
"24","103310","54039_Subi Juice & Crepes","06_美食二課","TO GO",155,4,2011-01-15,"F","50-59歲",503,60,83853,"忠誠顧客"
"25","103310","51041_布藍里","05_美食一課","西點麵包",180,2,2011-01-15,"F","50-59歲",503,60,83853,"忠誠顧客"
"26","103310","43006_MBC","04_服飾二課","街頭運動",952,2,2011-12-04,"F","50-59歲",503,60,83853,"忠誠顧客"
"27","103310","54041_友個優","06_美食二課","TO GO",110,2,2011-12-04,"F","50-59歲",503,60,83853,"忠誠顧客"
